@relation 'dataset_file-weka.filters.supervised.instance.SMOTE-C0-K10-P3000.0-S1-weka.filters.unsupervised.attribute.Remove-R1-6,8,10-11'

@attribute mods numeric
@attribute cyco numeric
@attribute label {clean,defective}

@data
2188,23,clean
1692,23,clean
1454,23,clean
1700,23,clean
2188,0,clean
1700,0,clean
2188,67,clean
1692,70,clean
1700,70,clean
1454,0,clean
1355,0,clean
1692,3,clean
1454,3,clean
1355,3,clean
1692,9,clean
1692,100,clean
1520,102,clean
1700,102,clean
1520,27,clean
1700,27,clean
2188,23,clean
1520,22,clean
2188,80,clean
1692,83,defective
1454,86,clean
1520,91,defective
1700,96,clean
1355,90,clean
2188,18,clean
1692,22,clean
1454,38,clean
1692,89,clean
1520,96,clean
1700,96,clean
1692,38,clean
1454,38,clean
1700,38,clean
2188,49,clean
1692,49,clean
2188,68,clean
1692,75,clean
1520,83,clean
1700,94,clean
1355,94,clean
1692,22,clean
1700,22,clean
1692,78,clean
1520,78,clean
1700,78,clean
1355,78,clean
2188,69,clean
1520,69,clean
1700,69,clean
2188,114,clean
1692,132,clean
1520,136,clean
1700,136,clean
1355,137,clean
1700,48,clean
1355,47,clean
2188,18,clean
1520,28,clean
1355,35,clean
1355,12,clean
1692,9,clean
1692,45,clean
1520,49,clean
2188,79,clean
1692,79,clean
1520,79,clean
1700,80,clean
1355,81,clean
2188,114,clean
1454,114,clean
1520,116,clean
1355,116,clean
2188,70,clean
1692,70,clean
1700,2,clean
1692,148,clean
1700,148,clean
2188,123,clean
1692,123,clean
1454,122,clean
1520,122,clean
1700,122,clean
1355,122,clean
1692,18,clean
1454,30,clean
1692,60,clean
1454,61,clean
1520,70,clean
1700,76,clean
1355,76,clean
1454,1,clean
1454,42,clean
1520,42,clean
1700,45,clean
1355,45,clean
2188,249,clean
1454,249,clean
1520,249,clean
1355,249,clean
2188,29,clean
1692,28,clean
1355,28,clean
1692,0,clean
1692,0,clean
2188,14,clean
1454,14,clean
1454,0,clean
1700,36,clean
2188,67,clean
1700,67,clean
2188,79,clean
1520,99,clean
2188,119,clean
1692,119,clean
1520,118,clean
1700,118,clean
1520,111,clean
1700,138,clean
1355,138,clean
1520,0,clean
1700,0,clean
1355,0,clean
1520,16,clean
2188,0,clean
2188,37,clean
1692,37,clean
1520,38,clean
1692,8,clean
2188,28,clean
1692,28,clean
1454,28,clean
1520,28,clean
1692,6,clean
1692,6,clean
1520,10,clean
1520,0,clean
1692,76,clean
1454,76,clean
1520,73,clean
1700,75,clean
1355,75,clean
1700,0,clean
1692,21,clean
1454,21,clean
1520,21,clean
1700,22,clean
1355,24,clean
1692,2,clean
2188,0,clean
2188,0,clean
1692,2,clean
2188,0,clean
2188,0,clean
2188,0,clean
2188,3,clean
1692,4,clean
2188,0,clean
1700,0,clean
1692,2,clean
2188,0,clean
1692,8,clean
2188,0,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,19,clean
2188,0,clean
1692,11,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,3,clean
1454,0,clean
2188,0,clean
1454,0,clean
1692,2,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,2,clean
2188,0,clean
1520,17,clean
1700,17,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,146,clean
1520,147,clean
2188,0,clean
1692,0,clean
1520,0,clean
1692,2,clean
2188,0,clean
1692,3,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,3,clean
2188,0,clean
2188,23,clean
1692,23,clean
1700,25,clean
1355,25,clean
2188,0,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,3,clean
2188,0,clean
1692,2,clean
2188,0,clean
2188,37,clean
1454,37,clean
1692,2,clean
2188,0,clean
1692,2,clean
2188,0,clean
1355,0,clean
1692,2,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,2,clean
2188,0,clean
1692,2,clean
2188,0,clean
2188,39,clean
1692,39,clean
1700,39,clean
2188,0,clean
1692,39,clean
2188,0,clean
1692,21,clean
1700,21,clean
2188,0,clean
