@relation dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R11

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
3,3,5,1113,287,4,1272,190,53,34,defective
3,3,5,1113,287,4,1272,190,53,34,defective
2,2,4,1520,158,2,1272,366,107,55,defective
1,1,2,7,8,1,539,346,81,7,clean
2,2,5,2018,28,2,1272,870,210,129,clean
3,3,7,1,2,3,539,1173,336,16,clean
2,2,12,53,29,3,1272,687,137,4,clean
3,3,15,517,21,4,539,667,111,451,clean
5,5,24,1322,7,5,1272,3784,967,90,defective
5,5,27,1044,29,6,539,1938,480,320,clean
1,1,9,729,54,1,1272,2967,653,27,clean
3,3,12,127,3,5,539,1272,268,420,defective
1,1,12,30,13,1,1272,5241,1299,10,clean
3,3,14,6,20,3,539,1338,78,5,clean
1,1,4,4347,4347,1,539,0,0,0,clean
4,4,9,371,23,4,1272,3775,837,38,defective
2,2,11,117584,119,2,539,3325,791,1158,clean
1,1,5,195,28,1,1272,73,0,15,clean
4,4,7,2,2,4,539,1727,499,13,clean
9,9,9,3,379,11,1272,394,95,23,defective
9,9,12,24,463,11,539,628,117,47,defective
2,2,3,3775,179,2,1272,1013,205,77,clean
1,1,4,1,2,1,539,949,201,1,clean
16,16,28,6486,1257,26,1272,796,165,58,defective
13,13,36,159,8,19,539,886,195,192,defective
1,1,4,650,63,1,1272,2305,588,13,clean
4,4,7,164,59,4,539,703,146,16,clean
1,1,4,135,48,1,1272,718,153,45,defective
6,6,6,10,83,7,539,701,138,126,clean
1,1,4,2,3,1,1272,506,139,2,clean
3,3,6,23,47,3,539,513,145,81,defective
1,1,2,93,93,1,539,1,0,93,clean
1,1,5,80,18,1,1272,612,119,8,clean
1,1,6,4,4,1,539,627,119,2,clean
1,1,2,7056,168,1,539,629,0,84,clean
1,1,8,34,19,1,1272,51,18,17,clean
5,5,11,296,13,5,539,153,36,27,clean
2,2,3,168,168,2,539,638,0,44,clean
3,3,7,36,15,3,1272,603,141,11,clean
1,1,8,260,57,1,539,862,184,52,defective
3,3,5,3218,42,3,1272,233,47,95,defective
1,1,6,441,84,2,539,621,119,21,clean
3,3,6,3218,42,4,1272,266,54,84,defective
4,4,8,800,94,7,539,454,89,24,defective
1,1,2,1143,1143,1,1272,873,166,1143,clean
4,4,4,246,118,4,539,45,4,27,clean
1,1,2,93,93,1,539,1,0,93,clean
1,1,4,118,118,1,1272,0,0,0,clean
1,1,2,1,2,1,1272,615,122,1,clean
1,1,3,380,39,1,1272,448,49,19,clean
1,1,3,1,4,2,539,21,4,1,clean
1,1,4,551,1133,2,1272,480,108,291,clean
7,7,6,791,1732,7,539,521,120,343,defective
1,1,2,529,46,1,539,2,0,23,clean
1,1,2,529,46,1,539,2,0,23,clean
4,4,8,310,174,5,539,467,108,121,defective
8,8,5,7056,395,13,539,358,56,20,defective
1,1,2,1205,1205,1,539,615,107,1205,clean
2,2,3,84,375,3,1272,116,17,35,clean
2,2,3,84,1818,9,1272,2,0,1,clean
1,1,2,59,118,2,1272,8,0,59,clean
1,1,3,3924,170,2,1272,468,78,62,clean
1,1,2,1296,72,1,539,3,0,36,clean
1,1,2,12,7,1,1272,797,142,4,clean
1,1,5,282,53,1,1272,1400,248,47,clean
2,2,6,171468,3982,5,539,389,62,449,defective
3,3,5,300533,2235,4,539,2689,620,491,defective
1,1,2,2760,353,1,1272,1138,241,345,clean
1,1,3,6966,167,1,539,1144,246,81,clean
1,1,3,168,26,1,1272,557,135,14,clean
1,1,3,168,26,1,1272,557,135,14,clean
1,1,2,8,8,1,539,20,8,8,clean
1,1,2,168,26,1,1272,557,135,14,clean
1,1,2,2760,353,1,1272,1138,241,345,clean
1,1,5,4066,145,1,539,7553,2269,107,clean
3,3,3,360,409,3,1272,1062,225,129,clean
5,5,4,24,286,5,539,1142,243,31,defective
1,1,2,551,1133,2,1272,480,108,291,clean
2,2,3,460,93,2,539,962,199,25,clean
2,2,9,110,70,2,1272,290,42,18,clean
2,2,11,80,2,2,539,3236,592,53,clean
1,1,2,360,49,1,1272,905,192,40,clean
2,2,3,6405,170,2,539,3567,685,54,clean
2,2,5,1,2,2,539,8,0,1,clean
1,1,5,171468,1831,1,539,217,46,99,clean
3,3,3,90,37,3,1272,251,66,8,defective
1,1,5,77,18,1,539,3725,170,11,clean
5,5,6,47,303,6,1272,239,71,24,defective
1,1,4,4,50,3,1272,574,153,0,clean
3,3,7,41,410,9,1272,341,81,21,clean
5,5,11,7,4,46,539,981,184,4,clean
1,1,2,1296,144,2,539,3,0,36,clean
2,2,3,2,147,3,539,9,0,24,clean
1,1,6,726,127,1,1272,534,103,121,clean
1,1,7,24,24,1,539,569,106,24,clean
2,2,7,42,267,7,539,853,167,26,clean
1,1,2,529,46,1,539,2,0,23,clean
1,1,3,171468,1831,1,539,217,46,99,clean
2,2,7,24,19,4,1272,66,12,1,clean
4,4,9,800,76,6,539,423,63,23,defective
1,1,2,1159,80,1,1272,333,83,61,clean
2,2,3,143658,1010,4,539,389,79,252,clean
1,1,3,171468,3598,3,539,503,71,622,clean
1,1,2,4140,137,1,1272,327,45,92,clean
1,1,2,25,30,2,1272,79,8,9,clean
1,1,2,4140,137,1,1272,327,45,92,clean
1,1,2,84,57,2,1272,165,25,24,clean
1,1,2,683,683,1,1272,0,0,0,clean
1,1,4,270,102,2,539,500,135,36,defective
1,1,4,270,102,2,539,500,135,36,defective
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
1,1,2,5929245,4894,1,1272,12752,6013,2689,clean
