@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,5,7,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,1947,2,264,61,1057,clean
1,1,107,3,0,0,74,clean
3,3,57,3,475,131,13,defective
1,1,4,1,2,0,4,clean
1,1,12,1,2,0,0,clean
2,2,4,2,385,100,0,clean
1,1,81,1,190,40,9,defective
1,1,1947,1,500,122,1947,clean
1,1,7,1,5,0,7,clean
1,1,2,1,5,0,2,clean
1,1,1947,1,500,122,1947,clean
1,1,1,1,665,172,1,clean
3,3,2476,3,135,28,151,clean
1,1,510,2,352,93,264,defective
1,1,3,1,517,0,1,clean
1,1,10,1,8,0,10,clean
1,1,22,1,3,0,1,clean
1,1,10,1,517,0,5,clean
1,1,1,1,539,0,1,clean
2,2,464,2,301,67,96,defective
3,3,16,3,101,32,9,clean
1,1,38,1,428,69,19,clean
4,4,48,4,269,56,21,defective
1,1,3,1,517,0,1,clean
1,1,49770,2,291,127,451,defective
1,1,22,1,3,0,1,clean
1,1,49770,2,291,127,451,defective
1,1,219,1,169,8,219,clean
3,3,29,3,1220,238,75,clean
1,1,1,1,170,9,1,clean
2,2,3,2,389,81,9,clean
1,1,75,1,49,6,75,clean
2,2,8,2,343,106,2,clean
1,1,21,1,343,105,3,clean
1,1,1947,1,500,122,1947,clean
1,1,21,1,343,105,3,clean
1,1,20128,2,344,113,148,clean
3,3,51,3,666,176,8,clean
1,1,209,1,116,29,209,clean
1,1,510,2,352,93,264,defective
3,3,35,6,484,122,6,clean
1,1,209,1,116,29,209,clean
1,1,510,2,352,93,264,defective
1,1,1947,1,500,122,1947,clean
1,1,4,6,164,30,2,clean
1,1,1,1,250,68,1,clean
1,1,49770,1,245,86,315,defective
1,1,107,1,0,0,107,clean
1,1,6,1,671,124,3,clean
1,1,5,2,557,110,1,clean
1,1,1947,1,500,122,1947,clean
1,1,244,1,14,0,2,clean
1,1,20525,1,5808,0,20525,clean
1,1,4,1,179,39,2,clean
1,1,244,2,14,0,2,clean
1,1,12,1,863,208,12,clean
1,1,8520,1,604,121,142,defective
1,1,1947,1,500,122,1947,clean
2,2,15,2,958,286,17,defective
