@relation dataset_file

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
5,5,4,6,136,5,1692,196,43,17,11,clean
1,1,5,1,2,1,1520,204,45,1,1,clean
2,2,7,7,7,2,1700,209,45,5,1,clean
3,3,2,29,79,3,2188,42,0,28,1,clean
3,3,3,3,16,3,1692,47,0,3,1,clean
1,1,4,1,2,1,1520,49,0,1,1,clean
1,1,5,1,1,1,1700,50,0,1,0,clean
2,2,1,1,4,2,2188,29,6,0,1,clean
1,1,2,1,2,1,1355,29,6,1,1,clean
3,3,2,3,91,3,2188,886,188,5,26,clean
2,2,3,7,13,2,1692,849,184,5,1,clean
2,2,4,388,402,2,1454,522,109,0,201,clean
1,1,5,1,2,1,1355,517,108,1,1,clean
2,2,1,676,110,2,2188,459,61,42,13,clean
1,1,2,15,15,1,1692,485,64,15,0,clean
1,1,3,302,302,1,1454,329,42,0,302,clean
1,1,1,9,9,1,1692,20,0,9,0,clean
1,1,1,9,6,1,1692,128,17,3,3,clean
1,1,2,3,4,1,1520,129,18,3,1,clean
1,1,1,107,1605,15,1454,0,0,107,0,clean
1,1,1,4,4,1,2188,48,4,2,2,clean
1,1,1,47,47,1,1355,24,0,47,0,clean
1,1,1,16,8,1,1700,23,0,4,4,clean
1,1,1,784,56,1,2188,225,0,28,28,clean
1,1,2,9,10,1,1692,230,0,9,1,clean
4,4,4,96,93,4,1700,231,0,13,12,clean
5,5,6,28,4,5,1355,209,0,19,28,clean
1,1,1,81,18,1,2188,197,0,9,9,clean
3,3,1,12,40,3,1692,905,0,13,0,clean
2,2,3,9,22,2,1355,928,0,12,1,clean
1,1,1,28,28,1,1692,177,0,28,0,clean
2,2,2,17,23,2,1520,188,0,11,0,clean
6,6,4,113,159,6,1700,189,0,17,22,clean
2,2,6,60,10,2,1355,188,0,15,9,clean
2,2,2,2,4,2,1355,23,3,1,1,clean
1,1,1,2,3,1,1355,19,0,2,1,clean
4,4,3,359,1079,4,1355,776,0,219,85,clean
2,2,2,338,119,2,1355,116,0,65,15,clean
1,1,1,12,12,1,1355,226,0,12,0,clean
1,1,1,1,2,1,2188,23,0,1,1,clean
1,1,2,1,2,1,1520,23,0,1,1,clean
2,2,1,250,133,2,1692,102,0,64,2,clean
3,3,3,80,40,3,1700,101,0,9,9,clean
1,1,4,42,13,1,1355,101,0,7,6,clean
1,1,1,21,22,1,1700,17,0,21,1,clean
1,1,1,2500,100,1,2188,641,0,50,50,clean
2,2,3,23,12,2,1692,681,0,14,1,clean
4,4,5,10,83,4,1520,751,0,19,2,clean
5,5,9,5,12,5,1700,729,0,7,0,clean
3,3,11,15,25,3,1355,756,0,11,0,clean
1,1,1,1,2,1,1355,90,0,1,1,clean
1,1,1,103,103,1,1692,54,0,103,0,clean
1,1,1,17,17,1,1692,43,0,17,0,clean
1,1,1,36,12,1,1520,66,0,6,6,clean
1,1,1,250,250,1,1355,0,0,0,250,clean
1,1,1,4,4,1,1355,78,0,2,2,clean
1,1,1,2,2,1,1692,134,0,2,0,clean
1,1,2,1,2,1,1520,134,0,1,1,clean
4,4,6,6,6,4,1700,119,0,4,1,clean
1,1,1,22,22,1,1692,35,0,22,0,clean
1,1,1,104,21,1,1520,114,0,13,8,clean
1,1,1,121,22,1,1520,112,0,11,11,clean
2,2,3,147,28,2,1700,116,0,14,14,clean
3,3,2,83,95,3,1700,45,0,32,5,clean
1,1,3,4,4,1,1355,41,0,2,2,clean
1,1,1,4,4,1,1355,27,0,2,2,clean
1,1,1,16,10,1,1700,55,0,8,2,clean
1,1,1,6,6,1,2188,30,0,6,0,clean
1,1,1,4,4,1,2188,19,0,2,2,clean
1,1,1,1,2,1,1520,18,0,1,1,clean
2,2,1,1,16,2,2188,1676,101,4,3,clean
2,2,3,3,2,2,1692,1683,102,6,0,clean
1,1,4,1,2,1,1454,1688,102,1,1,clean
10,10,7,14648,4,10,1355,2505,112,348,172,clean
2,2,1,282,304,2,1355,19,0,3,148,clean
1,1,1,20449,286,1,2188,1804,0,143,143,clean
1,1,2,15,8,1,1520,1801,0,3,5,clean
1,1,3,21312,292,1,1355,1805,0,148,144,clean
1,1,1,130,31,1,2188,147,20,26,5,defective
1,1,1,18,9,1,2188,2,0,6,3,clean
2,2,2,36,24,2,1692,2,0,10,2,clean
2,2,4,4,4,3,1454,2,0,1,3,clean
2,2,5,16,20,2,1520,2,0,6,3,clean
1,1,6,78,19,1,1355,2,0,13,6,clean
1,1,1,2,2,1,1692,59,0,2,0,clean
1,1,2,24,10,1,1454,59,0,6,4,clean
1,1,3,16,8,1,1520,59,0,4,4,clean
1,1,4,4,4,1,1700,59,0,2,2,clean
1,1,1,1,1,1,1700,93,0,0,1,clean
1,1,1,1,1,1,1700,29,0,0,1,clean
1,1,1,15,8,1,1692,64,0,5,3,clean
3,3,3,2,6,3,1700,64,0,2,0,clean
