@relation dataset_evaluation_feat_message-weka.filters.supervised.instance.SMOTE-C0-K5-P300.0-S1

@attribute revi numeric
@attribute refa numeric
@attribute bugf numeric
@attribute auth numeric
@attribute addl numeric
@attribute addm numeric
@attribute adda numeric
@attribute reml numeric
@attribute remm numeric
@attribute rema numeric
@attribute cchl numeric
@attribute cchm numeric
@attribute ccha numeric
@attribute maxc numeric
@attribute avgc numeric
@attribute aage numeric
@attribute wage numeric
@attribute label {clean,defective}

@data
2,0,0,1,3,2,2,2,1,1,1,1,0,1,1,9.63,9.63,clean
1,0,0,1,10,10,10,1,1,1,9,9,9,29,29,2,2,clean
1,0,0,1,3,3,3,0,0,0,3,3,3,1,1,8.5,8.5,clean
2,0,0,1,4,4,2,4,4,2,0,4,0,11,9,8,8,clean
1,0,0,1,116,116,116,97,97,97,19,19,19,1,1,6.26,6.26,defective
1,0,0,1,38,19,19,4,2,2,34,17,17,48,48,2.14,2.14,clean
1,0,0,1,454,227,227,0,0,0,454,227,227,48,48,2.14,2.14,clean
1,0,0,1,111,111,111,0,0,0,111,111,111,48,48,2.14,2.14,clean
1,0,0,1,379,379,379,236,236,236,143,143,143,48,48,2.14,2.14,clean
1,0,0,1,70,35,35,84,42,42,-14,-7,-7,48,48,2.14,2.14,clean
1,0,0,1,208,104,104,110,55,55,98,49,49,48,48,2.14,2.14,clean
1,0,1,1,15,5,5,15,5,5,0,0,0,5,5,7.95,7.95,defective
1,0,0,1,36,36,36,0,0,0,36,36,36,9,9,9.38,9.38,clean
1,0,0,1,44,44,44,7,7,7,37,37,37,9,9,8.57,8.57,clean
1,0,1,1,5,5,5,8,8,8,-3,-3,-3,5,5,6,6,clean
2,1,0,1,3,2,2,3,2,2,0,0,0,14,10,3.29,3.29,clean
1,0,0,1,4,2,2,202,101,101,-198,-99,-99,9,9,7.54,7.54,clean
1,0,0,1,12,12,12,33,33,33,-21,-21,-21,7,7,3.29,3.29,clean
1,0,0,1,91,91,91,2,2,2,89,89,89,3,3,4,4,clean
3,2,0,2,6,3,2,5,2,2,1,1,0,17,15,5.35,5.35,clean
3,0,0,2,10,7,3,17,5,6,-7,5,-2,9,4,7.08,7.08,clean
1,0,0,1,1,1,1,1,1,1,0,0,0,29,29,2,2,clean
1,0,0,1,0,0,0,24,12,12,-24,-12,-12,13,13,8.14,8.14,clean
4,0,0,2,102,4,11,100,7,11,2,31,0,6,4,5.63,5.63,clean
1,0,0,1,30,30,30,4,4,4,26,26,26,1,1,6.79,6.79,clean
1,0,0,1,0,0,0,2,2,2,-2,-2,-2,7,7,6,6,clean
1,0,0,1,0,0,0,2,2,2,-2,-2,-2,7,7,6,6,clean
1,0,0,1,0,0,0,6,6,6,-6,-6,-6,13,13,5.03,5.03,clean
3,0,2,2,81,52,27,161,8,54,-80,21,-27,13,5,5.77,5.77,clean
1,0,0,1,0,0,0,6,6,6,-6,-6,-6,13,13,6.36,6.36,clean
1,0,0,1,0,0,0,6,6,6,-6,-6,-6,13,13,7.48,7.48,clean
1,0,0,1,21,21,21,11,11,11,10,10,10,48,48,2.14,2.14,clean
1,0,0,1,0,0,0,54,18,18,-54,-18,-18,10,10,3.14,3.14,clean
2,0,0,1,21,2,10,23,7,12,-2,3,-1,1,1,8,8,clean
1,0,0,1,2,2,2,2,2,2,0,0,0,13,13,8.57,8.57,clean
1,0,1,1,6,6,6,0,0,0,6,6,6,1,1,10.29,10.29,defective
1,1,0,1,14,14,14,5,5,5,9,9,9,1,1,5.76,5.76,clean
3,0,0,2,78,52,20,2,2,0,76,52,19,13,6,5,5,clean
3,0,0,1,42,4,14,9,8,3,33,37,11,13,5,8.06,8.06,clean
