@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {defective,clean}

@data
1,166,1,258,23,166,clean
1,335,1,259,19,335,defective
1,335,1,259,19,335,defective
2,168,3,358,92,29,clean
2,12,2,299,0,15,clean
1,73,1,319,7,73,clean
1,34,2,258,694,34,defective
2,5,3,259,689,1,defective
1,7,1,319,0,7,clean
1,335,1,259,19,335,defective
1,322,1,258,10,46,clean
1,415,1,258,48,415,defective
3,1019,3,258,208,194,clean
1,16,2,299,39,14,clean
1,60,1,319,293,5,clean
1,351,1,1742,38,351,defective
1,8,1,258,37,4,clean
3,287,10,1742,106,284,defective
1,905,2,259,121,97,defective
2,876,2,1742,141,455,defective
2,287,7,1742,80,369,defective
1,905,2,259,121,97,defective
1,351,1,1742,38,351,defective
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
2,22401,2,1742,6611,11223,clean
2,22401,2,1742,6611,11223,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
