@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R4,9'

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,74,1,358,499,48,26,clean
1,1,1,32,1,358,273,21,11,clean
1,1,1,114,1,358,242,71,43,defective
1,1,1,227,1,358,120,227,0,defective
1,1,1,179,1,358,485,101,78,clean
1,1,1,179,1,358,485,101,78,clean
1,1,1,54,1,358,405,36,18,clean
1,1,1,21,1,358,8,19,2,clean
1,1,1,202,2,358,172,65,35,clean
1,1,1,77,1,358,261,35,42,defective
1,1,1,159,1,358,311,104,55,clean
1,1,1,2,1,358,22,2,0,clean
1,1,1,48,1,358,145,29,19,clean
1,1,1,48,1,358,145,29,19,clean
1,1,1,48,1,358,145,29,19,clean
1,1,1,533,4,358,358,68,65,defective
3,3,2,408,3,258,1231,82,63,defective
1,1,1,14,1,358,1202,7,7,defective
1,1,2,14,1,319,1212,12,2,clean
1,1,1,16,1,358,1202,11,5,clean
1,1,1,408,1,258,1259,226,182,clean
1,1,2,4,1,259,1261,2,2,clean
1,1,1,408,1,258,1259,226,182,clean
1,1,1,274,2,319,88,137,0,clean
1,1,2,166,1,258,105,166,0,clean
1,1,1,335,1,259,186,335,0,defective
1,1,1,335,1,259,186,335,0,defective
2,2,2,125,3,358,340,29,26,clean
2,2,4,5,2,299,43,15,2,clean
1,1,5,73,1,319,22,73,0,clean
1,1,1,70,2,258,2729,34,1,defective
2,2,3,70,3,259,2729,1,23,defective
1,1,1,7,1,319,35,7,0,clean
1,1,1,335,1,259,186,335,0,defective
1,1,1,53,1,258,136,46,7,clean
1,1,1,415,1,258,279,415,0,defective
3,3,2,14,3,258,838,194,69,clean
1,1,1,76,2,299,182,14,23,clean
1,1,2,17,1,319,1019,5,12,clean
1,1,1,351,1,1742,210,351,0,defective
1,1,2,6,1,258,211,4,2,clean
3,3,2,3467,10,1742,519,284,95,defective
1,1,3,256,2,259,690,97,31,defective
2,2,1,931,2,1742,570,455,10,defective
2,2,2,2410,7,1742,399,369,22,defective
1,1,3,256,2,259,690,97,31,defective
1,1,1,351,1,1742,210,351,0,defective
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
