@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R2-3,5,7-9,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,8,1,8,clean
1,1,1,1,clean
1,806,4,403,defective
2,632,2,13,clean
1,25,1,5,clean
1,72,1,9,defective
1,24,1,24,defective
1,285,1,19,clean
1,12,1,12,clean
1,4,1,2,clean
1,9,1,3,clean
3,190,5,39,defective
1,20667,1,83,defective
1,1,1,1,clean
1,8,2,35,clean
1,47,2,0,clean
1,2,1,0,clean
4,23,4,17,clean
1,400,1,20,defective
1,9,1,9,clean
1,5,1,5,clean
2,4,2,3,clean
1,1,1,1,clean
1,72,1,9,defective
2,4,2,12,defective
1,3,1,0,clean
1,13,1,13,clean
1,25,1,5,clean
1,121,1,11,clean
1,1,1,1,clean
4,16,6,77,defective
3,94,3,27,clean
1,86,1,86,clean
1,3875235,1,2839,clean
1,86,1,86,clean
1,12,1,0,clean
1,15,1,0,clean
1,16,1,16,clean
1,12,2,12,clean
2,45,2,8,clean
5,11,6,19,defective
5,132,18,108,defective
5,17,8,69,defective
1,185,2,180,clean
1,86,1,86,clean
1,171,1,171,clean
1,86,1,86,clean
1,1649,1,1649,clean
1,107,1,107,clean
1,185,1,185,clean
1,56,2,5331,clean
1,806,1,806,defective
2,23,2,15,clean
1,4,1,2,clean
1,107,1,107,clean
1,1851,1,0,clean
1,78,1,78,defective
2,578,6,254,defective
1,10318,3,182,defective
2,578,6,254,defective
1,78,1,78,defective
2,578,6,156,defective
1,38,1,38,clean
1,192,1,6,clean
1,4,1,0,clean
1,2916,1,54,clean
1,169,1,13,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,351,1,351,defective
1,8,1,4,clean
3,287,10,284,defective
1,905,2,97,defective
2,876,2,455,defective
2,287,7,369,defective
1,905,2,97,defective
1,351,1,351,defective
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
2,22401,2,11223,clean
2,22401,2,11223,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
2,22401,2,11223,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
2,22401,2,11223,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
1,22401,1,22401,clean
