@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R3,5-6,8'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
6,6,9,192,9,12,14,clean
6,6,25,177,18,4,6,clean
1,1,50,213,69,7,5,defective
3,3,190,223,108,32,8,defective
1,1,20667,1577,91,83,249,defective
1,1,1,186,8,1,1,clean
1,1,50,213,69,7,5,defective
2,2,684,223,81,22,12,defective
2,2,143,1577,93,42,125,defective
1,1,1,186,8,1,1,clean
1,1,50,213,69,7,5,defective
2,2,684,223,81,22,12,defective
1,1,20667,1577,91,83,249,defective
1,1,1,186,8,1,1,clean
1,1,25,213,0,5,5,defective
1,1,36,223,0,6,6,clean
1,1,20667,1577,91,83,249,defective
1,1,1,186,8,1,1,clean
1,1,50,213,139,10,5,defective
1,1,684,223,163,38,18,defective
1,1,20667,1577,91,83,249,defective
1,1,24,213,69,4,6,clean
1,1,272,213,326,17,16,clean
1,1,400,186,814,20,20,clean
1,1,11058,177,293,41,36,defective
2,2,2,213,189,1,1,clean
2,2,2,223,44,0,2,clean
2,2,58,186,177,24,2,clean
1,1,1680,192,33,60,28,clean
3,3,14,177,294,28,2,clean
11,11,320,213,654,24,18,defective
16,16,13,223,390,10,2,defective
6,6,2,1577,196,3,1,defective
4,4,1,186,271,41,33,defective
6,6,118,192,485,125,54,defective
4,4,718,177,416,472,172,defective
3,3,36,213,581,9,3,clean
3,3,177,1577,366,47,47,clean
2,2,1857,192,1144,123,15,defective
1,1,462,177,367,66,7,defective
1,1,36,213,325,6,6,defective
1,1,378,1577,12,21,18,clean
1,1,8,192,206,2,4,clean
3,3,837,213,626,21,21,clean
2,2,105,223,1237,35,5,clean
4,4,46,1577,283,6,6,defective
2,2,38,186,55,39,0,clean
5,5,16,192,172,20,3,defective
1,1,240,177,49,47,45,clean
7,7,950,213,78,19,20,defective
1,1,21,213,198,0,21,clean
2,2,2,177,835,3,0,clean
1,1,7,213,11,7,1,clean
1,1,1,192,15,1,1,clean
1,1,1520,213,318,152,10,clean
1,1,400,186,814,20,20,clean
3,3,2667,192,517,377,50,defective
1,1,10,177,543,34,29,clean
1,1,1520,213,318,152,10,clean
1,1,400,186,814,20,20,clean
1,1,1940,192,379,388,5,defective
1,1,11058,177,333,68,60,defective
3,3,102,213,79,31,20,clean
1,1,2,223,189,2,0,clean
5,5,27,1577,43,17,42,defective
4,4,156,192,121,32,29,clean
1,1,30,213,93,5,6,clean
1,1,64,192,638,8,8,clean
8,8,33,213,151,27,29,clean
9,9,20,223,107,13,3,defective
6,6,333,1577,234,62,57,defective
8,8,59,186,211,16,11,defective
9,9,14,192,276,30,5,defective
15,15,20,177,183,18,7,defective
1,1,20,213,42,20,0,clean
2,2,15,177,321,32,0,clean
4,4,28,223,114,5,5,defective
3,3,581,223,17,109,118,clean
1,1,1,1577,37,0,1,clean
1,1,1947,223,61,1057,0,clean
1,1,107,1577,0,74,0,clean
3,3,57,223,131,13,5,defective
1,1,4,223,0,4,0,clean
1,1,12,1577,0,0,12,clean
2,2,4,223,100,0,4,clean
1,1,81,192,40,9,9,defective
1,1,1947,223,122,1947,0,clean
1,1,7,223,0,7,1,clean
1,1,2,1577,0,2,1,clean
1,1,1947,223,122,1947,0,clean
1,1,1,223,172,1,1,clean
3,3,2476,192,28,151,63,defective
1,1,510,177,93,264,255,defective
1,1,3,223,0,1,3,clean
1,1,10,223,0,10,0,clean
1,1,22,192,0,1,22,clean
1,1,10,223,0,5,2,clean
1,1,1,192,0,1,1,clean
2,2,464,223,67,96,73,defective
3,3,16,1577,32,9,2,clean
1,1,38,186,69,19,2,clean
4,4,48,177,56,21,3,defective
1,1,3,223,0,1,3,clean
1,1,49770,223,127,451,79,defective
1,1,22,192,0,1,22,clean
1,1,49770,223,127,451,79,defective
1,1,219,223,8,219,0,clean
3,3,29,1577,238,75,1,clean
1,1,1,186,9,1,0,clean
2,2,3,223,81,9,3,clean
1,1,75,1577,6,75,0,clean
2,2,8,223,106,2,5,clean
1,1,21,223,105,3,7,clean
1,1,1947,223,122,1947,0,clean
1,1,21,223,105,3,7,clean
1,1,20128,192,113,148,136,defective
3,3,51,223,176,8,3,clean
1,1,209,192,29,209,0,clean
1,1,510,177,93,264,255,defective
3,3,35,223,122,6,3,defective
1,1,209,192,29,209,0,clean
1,1,510,177,93,264,255,defective
1,1,1947,223,122,1947,0,clean
1,1,4,223,30,2,2,clean
1,1,1,223,68,1,1,clean
